id,fecha,medio_transporte,empresa_bus,linea_metro,barrio,review_text,rating,tiempo_espera_min,duracion_viaje_min,likes,respuestas
e109c0a0,2024-05-20 18:29:00,MetroTren,,,Huechuraba,"Viajé por bus interurbano, en noche con clima soleado, el bus llegó a tiempo",4.0,9,38,7,0
4766d047,2025-04-09 19:05:00,Bus Interurbano,Alsacia,,Recoleta,"Tomé trolebús en puente alto, en noche con clima lluvia, la señalética estaba clara",5.0,4,28,1,1
90dc111f,2024-09-12 03:30:00,Metro,,L2,Pedro Aguirre Cerda,"Tomé bus interurbano en maipú, el bus se saltó la parada, deberían mejorar el servicio",1.0,14,18,4,1
b1442305,2024-05-09 18:30:00,Bus Interurbano,Redbus,,Renca,La aplicación funcionó perfecto,5.0,0,20,8,0
85d93ecf,2025-02-13 18:54:00,Metro,,L6,Peñalolén,"Viajé por metrotren, en hora punta tarde con clima nublado, cambio de andén de último minuto",,14,30,0,0
0c540bfc,2024-06-21 21:53:00,Metro,,L3,Providencia,"Tomé trolebús en renca, en noche con clima lluvia, no hubo novedades",3.0,12,22,6,1
77ea8e4f,2024-10-07 23:11:00,Red Bus,STP,,Puente Alto,"Tomé red bus en san bernardo, en mediodía con clima lluvia, la señalética estaba clara, recomiendo la ruta",4.0,13,32,3,2
9a89faa9,2024-08-02 16:42:00,Bus Interurbano,STP,,Las Condes,"Tomé trolebús en la pintana, el aire acondicionado estaba adecuado, recomiendo la ruta",5.0,15,37,11,1
a09fc9d0,2024-05-12 08:27:00,Trolebús,,,Lo Barnechea,"Tomé metro en la florida, en mediodía con clima soleado, me tocó ir de pie parte del trayecto",3.0,16,33,8,1
f3013a22,2024-03-24 01:09:00,MetroTren,,,Cerrillos,"Tomé trolebús en huechuraba, en hora punta mañana con clima lluvia, mucha aglomeración",2.0,20,53,4,1
6f98f48d,2025-06-27 02:20:00,MetroTren,,,Pedro Aguirre Cerda,"Tomé trolebús en providencia, mucha aglomeración, deberían mejorar el servicio",1.0,23,47,7,0
d7a8624d,2024-11-05 15:27:00,Bus Interurbano,STP,,Pedro Aguirre Cerda,"Viajé por metrotren, cambio de andén de último minuto",3.0,11,35,9,0
84b4e1ca,2024-06-24 10:26:00,Bus Interurbano,Subus,,Peñalolén,"Tomé bus interurbano en recoleta, en mediodía con clima viento, el conductor fue amable, recomiendo la ruta",4.0,5,25,0,1
126dbf05,2024-05-14 11:13:00,Trolebús,,,San Miguel,"Viajé por bus interurbano, sistema de pago falló",2.0,14,31,0,1
69d3bed2,2025-02-02 11:07:00,Red Bus,Alsacia,,La Pintana,"Tomé red bus en las condes, hubo fiscalización",3.0,15,23,9,1
5f118084,2024-03-20 18:55:00,Trolebús,,,Providencia,"Viajé por metrotren, cambio de andén de último minuto",3.0,12,38,5,0
df03a9bf,2024-03-27 10:00:00,Red Bus,Alsacia,,Conchalí,"Viajé por trolebús, el bus se saltó la parada",1.0,18,29,2,0
28038835,2025-03-06 13:28:00,Bus Interurbano,STP,,Estación Central,"Viajé por trolebús, demora excesiva",1.0,13,26,3,0
8a9e8610,2024-01-03 01:05:00,Trolebús,,,Cerrillos,"Ruidos molestos, deberían mejorar el servicio",1.0,19,40,1,0
220bb56c,2024-02-04 06:43:00,Red Bus,Subus,,San Bernardo,"Tomé metrotren en macul, mal olor en el vagón",2.0,10,14,7,2
9e19df05,2024-02-01 14:28:00,Trolebús,,,Lo Barnechea,"Viajé por bus interurbano, el metro estaba limpio",4.0,0,26,9,1
101c5555,2025-01-06 22:00:00,Red Bus,Metbus,,La Florida,"Viajé por metrotren, el chofer manejaba brusco",1.0,14,26,14,0
8d1ea9d2,2024-11-06 04:02:00,Bus Interurbano,STP,,Maipú,"Viajé por trolebús, hubo fiscalización",3.0,16,32,7,0
014057f2,2025-02-14 02:07:00,MetroTren,,,Santiago Centro,"Viajé por red bus, en hora punta mañana con clima lluvia, el bus se saltó la parada",1.0,14,32,5,0
bb7a9143,2025-05-20 12:46:00,Red Bus,Metbus,,Ñuñoa,"Viajé por metro, en hora punta mañana con clima nublado, no hubo novedades",3.0,22,32,7,1
