id,fecha,medio_transporte,empresa_bus,linea_metro,barrio,review_text,rating,tiempo_espera_min,duracion_viaje_min,likes,respuestas,satisfaccion
e109c0a0,2024-05-20 18:29:00,Metrotren,Desconocido,Desconocido,Huechuraba,"Viajé por bus interurbano, en noche con clima soleado, el bus llegó a tiempo",4.0,9,38,7,0,Positivo
4766d047,2025-04-09 19:05:00,Bus Interurbano,Alsacia,Desconocido,Recoleta,"Tomé trolebús en puente alto, en noche con clima lluvia, la señalética estaba clara",5.0,4,28,1,1,Positivo
90dc111f,2024-09-12 03:30:00,Metro,Desconocido,L2,Pedro Aguirre Cerda,"Tomé bus interurbano en maipú, el bus se saltó la parada, deberían mejorar el servicio",1.0,14,18,4,1,Negativo
b1442305,2024-05-09 18:30:00,Bus Interurbano,Redbus,Desconocido,Renca,La aplicación funcionó perfecto,5.0,0,20,8,0,Positivo
85d93ecf,2025-02-13 18:54:00,Metro,Desconocido,L6,Peñalolén,"Viajé por metrotren, en hora punta tarde con clima nublado, cambio de andén de último minuto",3.0,14,30,0,0,Neutro
0c540bfc,2024-06-21 21:53:00,Metro,Desconocido,L3,Providencia,"Tomé trolebús en renca, en noche con clima lluvia, no hubo novedades",3.0,12,22,6,1,Neutro
77ea8e4f,2024-10-07 23:11:00,Red Bus,Stp,Desconocido,Puente Alto,"Tomé red bus en san bernardo, en mediodía con clima lluvia, la señalética estaba clara, recomiendo la ruta",4.0,13,32,3,2,Positivo
9a89faa9,2024-08-02 16:42:00,Bus Interurbano,Stp,Desconocido,Las Condes,"Tomé trolebús en la pintana, el aire acondicionado estaba adecuado, recomiendo la ruta",5.0,15,37,11,1,Positivo
a09fc9d0,2024-05-12 08:27:00,Trolebús,Desconocido,Desconocido,Lo Barnechea,"Tomé metro en la florida, en mediodía con clima soleado, me tocó ir de pie parte del trayecto",3.0,16,33,8,1,Neutro
f3013a22,2024-03-24 01:09:00,Metrotren,Desconocido,Desconocido,Cerrillos,"Tomé trolebús en huechuraba, en hora punta mañana con clima lluvia, mucha aglomeración",2.0,20,53,4,1,Negativo
6f98f48d,2025-06-27 02:20:00,Metrotren,Desconocido,Desconocido,Pedro Aguirre Cerda,"Tomé trolebús en providencia, mucha aglomeración, deberían mejorar el servicio",1.0,23,47,7,0,Negativo
d7a8624d,2024-11-05 15:27:00,Bus Interurbano,Stp,Desconocido,Pedro Aguirre Cerda,"Viajé por metrotren, cambio de andén de último minuto",3.0,11,35,9,0,Neutro
84b4e1ca,2024-06-24 10:26:00,Bus Interurbano,Subus,Desconocido,Peñalolén,"Tomé bus interurbano en recoleta, en mediodía con clima viento, el conductor fue amable, recomiendo la ruta",4.0,5,25,0,1,Positivo
126dbf05,2024-05-14 11:13:00,Trolebús,Desconocido,Desconocido,San Miguel,"Viajé por bus interurbano, sistema de pago falló",2.0,14,31,0,1,Negativo
69d3bed2,2025-02-02 11:07:00,Red Bus,Alsacia,Desconocido,La Pintana,"Tomé red bus en las condes, hubo fiscalización",3.0,15,23,9,1,Neutro
5f118084,2024-03-20 18:55:00,Trolebús,Desconocido,Desconocido,Providencia,"Viajé por metrotren, cambio de andén de último minuto",3.0,12,38,5,0,Neutro
df03a9bf,2024-03-27 10:00:00,Red Bus,Alsacia,Desconocido,Conchalí,"Viajé por trolebús, el bus se saltó la parada",1.0,18,29,2,0,Negativo
28038835,2025-03-06 13:28:00,Bus Interurbano,Stp,Desconocido,Estación Central,"Viajé por trolebús, demora excesiva",1.0,13,26,3,0,Negativo
8a9e8610,2024-01-03 01:05:00,Trolebús,Desconocido,Desconocido,Cerrillos,"Ruidos molestos, deberían mejorar el servicio",1.0,19,40,1,0,Negativo
220bb56c,2024-02-04 06:43:00,Red Bus,Subus,Desconocido,San Bernardo,"Tomé metrotren en macul, mal olor en el vagón",2.0,10,14,7,2,Negativo
9e19df05,2024-02-01 14:28:00,Trolebús,Desconocido,Desconocido,Lo Barnechea,"Viajé por bus interurbano, el metro estaba limpio",4.0,0,26,9,1,Positivo
101c5555,2025-01-06 22:00:00,Red Bus,Metbus,Desconocido,La Florida,"Viajé por metrotren, el chofer manejaba brusco",1.0,14,26,14,0,Negativo
8d1ea9d2,2024-11-06 04:02:00,Bus Interurbano,Stp,Desconocido,Maipú,"Viajé por trolebús, hubo fiscalización",3.0,16,32,7,0,Neutro
014057f2,2025-02-14 02:07:00,Metrotren,Desconocido,Desconocido,Santiago Centro,"Viajé por red bus, en hora punta mañana con clima lluvia, el bus se saltó la parada",1.0,14,32,5,0,Negativo
bb7a9143,2025-05-20 12:46:00,Red Bus,Metbus,Desconocido,Ñuñoa,"Viajé por metro, en hora punta mañana con clima nublado, no hubo novedades",3.0,22,32,7,1,Neutro
78a50aa3,2024-03-07 02:25:00,Trolebús,Desconocido,Desconocido,Independencia,"Viajé por metrotren, la señalética estaba clara",4.0,5,32,4,0,Positivo
892777fd,2025-06-02 08:06:00,Trolebús,Desconocido,Desconocido,San Miguel,"Viajé por metrotren, en mediodía con clima nublado, ruidos molestos, deberían mejorar el servicio",1.0,23,27,5,2,Negativo
6365aee4,2024-07-11 07:03:00,Metro,Desconocido,L4A,Maipú,"Tomé red bus en independencia, en hora punta tarde con clima soleado, el chofer manejaba brusco",1.0,21,40,10,1,Negativo
2942b6c6,2025-05-28 04:38:00,Red Bus,Redbus,Desconocido,Cerrillos,Me tocó ir de pie parte del trayecto,3.0,12,37,4,0,Neutro
741fa6f1,2024-11-16 05:53:00,Bus Interurbano,Redbus,Desconocido,San Miguel,"Tomé metro en maipú, bajó mucha gente en la estación",3.0,1,34,7,1,Neutro
4e363c4b,2025-01-19 00:00:00,Metro,Desconocido,L4,Ñuñoa,"En mediodía con clima soleado, el bus llegó a tiempo",4.0,16,53,4,1,Positivo
6b174fe4,2024-05-20 01:32:00,Metrotren,Desconocido,Desconocido,Conchalí,"Tomé bus interurbano en renca, en noche con clima viento, ruidos molestos",1.0,6,26,6,0,Negativo
1ca7c449,2024-11-01 06:54:00,Metrotren,Desconocido,Desconocido,Peñalolén,"Viajé por red bus, en noche con clima lluvia, el conductor fue amable",4.0,19,24,6,1,Positivo
aba260e1,2025-01-05 00:06:00,Metrotren,Desconocido,Desconocido,Renca,"Viajé por metro, en hora punta mañana con clima viento, hubo fiscalización",3.0,11,25,0,0,Neutro
168a132f,2024-09-18 22:28:00,Bus Interurbano,Redbus,Desconocido,Maipú,"Viajé por red bus, poca frecuencia",2.0,12,28,11,1,Negativo
0c49a5a6,2024-01-05 17:53:00,Metro,Desconocido,L4,Renca,El chofer manejaba brusco,2.0,18,23,12,2,Negativo
ee770f04,2024-03-21 14:58:00,Red Bus,Stp,Desconocido,Pedro Aguirre Cerda,No hubo novedades,3.0,9,41,1,3,Neutro
943af289,2025-01-27 16:44:00,Metro,Desconocido,L1,Santiago Centro,"Tomé metro en la pintana, en noche con clima lluvia, me sentí inseguro por discusión entre pasajeros",1.0,21,20,2,0,Negativo
53ea12d4,2025-04-14 22:36:00,Trolebús,Desconocido,Desconocido,Huechuraba,"El tiempo de espera fue bajo, recomiendo la ruta",5.0,9,26,3,2,Positivo
49170945,2024-10-21 16:17:00,Metro,Desconocido,L6,Ñuñoa,"Tomé red bus en independencia, en noche con clima nublado, el bus se saltó la parada",1.0,19,39,9,2,Negativo
49613c4e,2025-03-03 19:55:00,Bus Interurbano,Alsacia,Desconocido,Puente Alto,"La señalética estaba clara, recomiendo la ruta",5.0,9,47,2,1,Positivo
dc1eaf73,2024-11-26 01:16:00,Bus Interurbano,Metbus,Desconocido,Cerrillos,"En hora punta tarde con clima nublado, el bus llegó a tiempo, recomiendo la ruta",4.0,13,32,3,1,Positivo
